Test Case ID,Module,Test Scenario,Precondition,Test Data,Steps,Expected Result,Priority,Automation Status,Automation File
REG-001,Registration,Register with valid details,Registration page is open,Valid registration details,"Enter all required details and submit registration","User account is successfully created",Critical,Automated,tests/ui/registration/registration.spec.ts
REG-002,Registration,Register with already registered email,Registration page is open,Existing registered email,"Enter valid details using an existing email and submit","Registration is rejected with appropriate error",High,Automated,tests/api/duplicate-registration.spec.ts
REG-003,Registration,Register with missing required field,Registration page is open,One required field blank,"Leave a required field blank and submit","Validation message is displayed",High,Not Automated,-
REG-004,Registration,Register with invalid email format,Registration page is open,Invalid email,"Enter invalid email and submit","Email validation message is displayed",High,Not Automated,-
REG-005,Registration,Register with invalid postal code,Registration page is open,Invalid postal code,"Enter invalid postal code and submit","Postal code validation is displayed",Medium,Not Automated,-
REG-006,Registration,Verify password rules,Registration page is open,Invalid password,"Enter password that does not meet application rules","Password validation message is displayed",High,Not Automated,-
LOGIN-001,Login,Login with valid credentials,Registered user exists,Valid email and password,"Open login page, enter valid email and password, click Login","User successfully logs in",Critical,Automated,tests/api/auth.spec.ts
LOGIN-002,Login,Login with invalid email,Login page is open,Invalid email and valid password,"Enter invalid email and valid password and click Login","Login fails and appropriate error is displayed",High,Automated,tests/ui/login/invalid-email.spec.ts
LOGIN-003,Login,Login with invalid password,Login page is open,Valid email and invalid password,"Enter valid email and invalid password and click Login","Login fails and appropriate error is displayed",High,Automated,tests/ui/login/invalid-password.spec.ts
LOGIN-004,Login,Login with invalid email and password,Login page is open,Invalid email and invalid password,"Enter invalid email and password and click Login","Login fails and appropriate error is displayed",High,Automated,tests/ui/login/invalid-email&password.spec.ts
LOGIN-005,Login,Login with missing email,Login page is open,Blank email,"Leave email blank and submit login","Email validation or error is displayed",High,Not Automated,-
LOGIN-006,Login,Login with missing password,Login page is open,Blank password,"Leave password blank and submit login","Password validation or error is displayed",High,Not Automated,-
LOGIN-007,Login,Login with invalid token,API authentication is available,Invalid token,"Send API request with invalid token","API rejects request with appropriate unauthorized response",High,Automated,tests/api/invalid-token.spec.ts
SEARCH-001,Search,Search for existing product,Application is open,Hammer,"Enter Hammer in search and submit","Matching Hammer product is displayed",High,Automated,tests/ui/search/search-existing-product.spec.ts
SEARCH-002,Search,Search for non-existing product,Application is open,XYZ123,"Enter non-existing product and submit","No matching product is displayed",High,Automated,tests/ui/search/search-non-existing-product.spec.ts
PROD-001,Product,Open product from search results,Product exists,Hammer,"Search for Hammer and click product","Correct product details page opens",High,Not Automated,-
PROD-002,Product,Verify product price,Product details page is open,Hammer,"Open product details","Correct product price is displayed",High,Not Automated,-
CART-001,Cart,Add product to cart,Product is available,Hammer,"Open Hammer and click Add to Cart","Hammer is added to cart",Critical,Automated,tests/ui/cart/cart.spec.ts
CART-002,Cart,Verify product details in cart,Product is already in cart,Hammer,"Open cart","Correct product name and price are displayed",High,Not Automated,-
CART-003,Cart,Verify cart quantity,Product is already in cart,Hammer quantity 1,"Open cart","Correct quantity is displayed",High,Not Automated,-
CART-004,Cart,Verify cart total,Product is already in cart,Known product price,"Open cart and verify total","Cart total matches expected calculation",Critical,Not Automated,-
CART-005,Cart,Remove product from cart,Product is already in cart,Hammer,"Open cart and remove product","Product is removed and cart is updated",High,Not Automated,-
CHECK-001,Checkout,Complete checkout with valid details,Product is in cart,Valid checkout information,"Open cart, proceed to checkout, enter valid details and confirm order","Order is successfully placed",Critical,Automated,tests/ui/checkout/checkout.spec.ts
CHECK-002,Checkout,Verify checkout product and price,Product is in cart,Hammer,"Proceed to checkout","Correct product and price are displayed",High,Not Automated,-
CHECK-003,Checkout,Submit checkout with missing required field,Product is in cart,Missing required field,"Leave required field blank and submit","Validation message is displayed and order is not completed",High,Not Automated,-
CHECK-004,Checkout,Verify checkout total,Product is in cart,Known order total,"Proceed to checkout and compare total","Checkout total matches cart total",Critical,Not Automated,-
CHECK-005,Checkout,Verify first checkout confirmation step,Product is in cart,Valid checkout data,"Enter checkout details and continue","User proceeds successfully to the next confirmation step",Critical,Not Automated,-
CHECK-006,Checkout,Verify final order confirmation,First checkout step is completed,Valid order,"Complete final confirmation","Successful order confirmation message is displayed",Critical,Not Automated,-
INV-001,Invoice,Generate invoice after successful order,Order is successfully placed,Valid order,"Complete checkout and open invoice","Invoice is generated successfully",Critical,Automated,tests/ui/invoice/invoice.spec.ts
INV-002,Invoice,Verify invoice number is displayed,Invoice is generated,Valid order,"Open invoice","Invoice number is displayed",Critical,Not Automated,-
INV-003,Invoice,Verify invoice number format,Invoice is generated,Generated invoice number,"Open invoice and inspect invoice number","Invoice number follows the actual application-defined format",Critical,Not Automated,-
INV-004,Invoice,Verify invoice product and quantity,Invoice is generated,Hammer,"Open invoice","Correct product and quantity are displayed",High,Not Automated,-
INV-005,Invoice,Verify invoice total,Invoice is generated,Known order total,"Open invoice and compare total","Invoice total matches expected order total",Critical,Not Automated,-
LOGOUT-001,Logout,Logout from logged-in account,User is logged in,Valid user,"Click Logout","User is successfully logged out",High,Automated,tests/ui/login/logout.spec.ts
LOGOUT-002,Logout,Verify user cannot access authenticated state after logout,User has logged out,N/A,"Logout and attempt to access authenticated functionality","User is required to authenticate again",High,Not Automated,-
API-CART-001,Cart API,Create cart with valid product,Valid authentication and product exists,Valid product,"Send cart creation API request","Cart is created successfully",Critical,Automated,tests/api/cart.spec.ts
API-CART-002,Cart API,Create cart with invalid product,API is available,Invalid product,"Send cart creation request with invalid product","Appropriate error response is returned",High,Not Automated,-
API-INV-001,Invoice API,Generate invoice for valid order,Valid order exists,Valid order,"Send invoice generation API request","Invoice is generated successfully",Critical,Automated,tests/api/invoice.spec.ts
API-INV-002,Invoice API,Generate invoice for invalid order,API is available,Invalid order,"Send invoice request with invalid order","Appropriate error response is returned",High,Not Automated,-
API-LOGIN-001,Login API,Login with invalid credentials,API is available,Invalid email and password,"Send login request with invalid credentials","Authentication fails with appropriate error response",High,Automated,tests/api/login-negative-api.spec.ts
API-LOGIN-002,Login API,Login with missing credentials,API is available,Missing email and password,"Send login request without required credentials","Validation or error response is returned",High,Automated,tests/api/login-negative-api.spec.ts
